,African,European,India,Malay,SouthChineseDai,SouthwestChineseYi,EastChinese,Japanese,NorthChineseOroqen,Yakut,American,
Han,0.325,0.001,4.267,0.001,0.156,25.438,48.124,8.641,12.58,0.001,0.465,
Daur-Hezhen-Oroqen,0.22,0.001,2.148,0.001,0.001,8.958,18.068,14.375,38.239,16.94,1.05,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,0.001,11.773,30.205,5.441,45.748,6.826,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.936,0.001,7.91,29.605,12.875,47.794,0.001,0.876,
Daur-Hezhen-Oroqen,0.025,0.001,0.001,0.001,0.001,8.245,15.786,15.708,39.484,18.831,1.916,
Daur-Hezhen-Oroqen,0.001,1.248,0.001,0.001,1.539,9.326,16.4,10.501,54.829,6.153,0.001,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,3.885,6.621,27.756,5.774,47.626,6.421,1.913,
Daur-Hezhen-Oroqen,0.033,0.001,0.001,0.001,0.001,9.625,15.467,15.801,37.076,19.826,2.168,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,1.571,16.419,12.821,9.605,59.054,0.001,0.527,
Daur-Hezhen-Oroqen,0.001,0.001,0.001,0.001,2.46,11.321,0.001,6.312,78.819,1.082,0.001,
Japanese,0.001,0.001,0.01,1.372,5.901,7.507,20.165,54.848,7.7,2.494,0.001,
Japanese,0.001,0.001,0.001,0.83,4.42,7.923,23.776,52.053,8.165,1.446,1.384,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,2.36,2.481,6.931,21.543,54.355,9.655,2.671,0.001,
Japanese,0.001,0.001,0.001,2.065,0.001,0.001,8.163,89.764,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,3.313,3.697,7.377,82.355,3.251,0.001,0.001,
Japanese,0.324,0.001,0.001,0.228,5.621,7.46,21.868,54.581,8.307,1.332,0.276,
Japanese,0.001,0.001,0.001,0.001,0.001,0.483,2.606,96.903,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.201,0.001,0.001,99.761,0.001,0.03,0.001,
Japanese,0.001,0.625,0.1,0.001,6.382,6.39,20.564,55.03,7.737,3.169,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,1.116,9.443,89.432,0.001,0.001,0.001,
Japanese,0.024,0.001,0.001,0.545,3.824,7.773,21.398,53.749,10.364,2.319,0.001,
Japanese,0.001,0.001,0.001,0.001,0.982,7.117,0.001,91.893,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,0.273,20.756,75.683,3.28,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,9.353,0.001,90.638,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,5.676,94.315,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.432,0.001,0.193,96.233,3.136,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99.99,0.001,0.001,0.001,
Japanese,0.001,0.032,0.001,0.08,5.723,9.615,27.353,46,9.189,1.329,0.677,
Japanese,0.001,0.001,0.001,0.001,0.001,0.001,12.686,86.721,0.001,0.585,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,4.188,8.513,87.29,0.001,0.001,0.001,
Japanese,0.254,0.001,0.333,0.001,8.963,6.849,20.309,53.44,6.297,2.994,0.56,
Japanese,0.001,0.001,0.001,0.001,0.001,2.622,0.001,96.598,0.001,0.772,0.001,
Japanese,0.001,0.001,0.001,0.001,0.001,5.918,9.735,79.102,5.238,0.001,0.001,
