,African,European,India,Malay,SouthChineseDai,SouthwestChineseYi,EastChinese,Japanese,NorthChineseOroqen,Yakut,American,
Han,0.128,0.471,0.001,0.001,25.725,7.763,54.641,6.815,1.961,2.494,0.001,
Han,0.144,0.014,0.001,2.992,54.774,0.001,38.682,0.001,0.001,3.388,0.001,
Han,0.001,0.293,0.001,5.012,32.854,11.174,42.887,7.157,0.001,0.371,0.248,
Han,0.012,0.001,0.001,0.001,18.329,18.235,53.101,8.949,0.001,0.53,0.839,
Han,0.296,0.001,0.001,0.001,29.647,5.612,55.651,5.812,0.001,2.4,0.578,
Han,0.001,0.001,0.001,0.001,10.873,15.07,55.036,9.126,5.409,3.371,1.112,
Han,0.001,0.001,0.001,0.001,28.82,17.452,42.425,3.734,4.144,2.58,0.842,
Han,0.227,0.523,0.063,0.001,0.001,20.249,56.729,7.668,10.865,3.673,0.001,
Han,2.086,1.977,0.001,0.001,38.777,5.373,50.072,0.001,0.001,1.422,0.288,
Han,0.213,0.001,0.001,5.77,16.77,18.506,52.042,0.849,4.83,1.018,0.001,
Han,0.531,0.186,0.001,3.614,18.356,22.474,45.907,6.498,0.001,2.171,0.261,
Han,0.044,0.001,0.001,3.778,31.763,11.949,47.136,0.001,5.324,0.001,0.001,
Han,0.151,0.001,0.001,2.239,0.001,23.175,55.294,7.387,11.091,0.001,0.659,
Han,0.633,0.001,0.001,0.001,4.463,14.875,68.407,5.889,0.001,4.105,1.623,
Han,1.006,2.025,1.32,0.001,7.601,18.34,44.755,7.413,13.509,2.723,1.307,
Han,0.258,0.001,0.001,1.836,18.313,5.311,66.051,1.709,5.081,1.177,0.261,
Han,0.001,2.361,0.613,0.001,0.001,22.759,52.698,13.468,3.504,3.043,1.552,
Han,0.626,0.001,0.213,2.468,34.884,8.024,44.533,5.84,2.834,0.001,0.576,
Han,0.001,0.84,0.001,0.001,2.485,24.09,55.35,3.725,11.496,2.01,0.001,
Han,0.048,0.085,0.001,7.119,14.183,10.182,58.104,0.529,9.043,0.705,0.001,
Han,0.001,0.001,1.359,0.001,0.001,21.057,64.617,1.23,10.359,0.661,0.712,
